"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-12-31","250.42","252.44","253.28","249.43","39.48M","-0.71%"
"2024-12-30","252.20","252.23","253.50","250.75","35.56M","-1.33%"
"2024-12-27","255.59","257.83","258.70","253.06","42.36M","-1.32%"
"2024-12-26","259.02","258.19","260.10","257.63","27.26M","0.32%"
"2024-12-24","258.20","255.49","258.21","255.29","23.23M","1.15%"
"2024-12-23","255.27","254.77","255.65","253.45","40.86M","0.31%"
"2024-12-20","254.49","248.04","255.00","245.69","147.50M","1.88%"
"2024-12-19","249.79","247.50","252.00","247.09","60.88M","0.70%"
"2024-12-18","248.05","252.16","254.28","247.74","56.77M","-2.14%"
"2024-12-17","253.48","250.08","253.83","249.78","51.36M","0.97%"
"2024-12-16","251.04","247.99","251.38","247.65","51.69M","1.17%"
"2024-12-13","248.13","247.82","249.29","246.24","33.16M","0.07%"
"2024-12-12","247.96","246.89","248.74","245.68","32.78M","0.60%"
"2024-12-11","246.49","247.96","250.80","246.26","45.21M","-0.52%"
"2024-12-10","247.77","246.89","248.21","245.34","36.91M","0.41%"
"2024-12-9","246.75","241.83","247.24","241.75","44.65M","1.61%"
"2024-12-6","242.84","242.90","244.63","242.08","36.87M","-0.08%"
"2024-12-5","243.04","243.99","244.54","242.13","40.03M","0.01%"
"2024-12-4","243.01","242.87","244.11","241.25","44.38M","0.15%"
"2024-12-3","242.65","239.81","242.76","238.90","38.86M","1.28%"
"2024-12-2","239.59","237.27","240.79","237.16","48.14M","0.95%"
"2024-11-29","237.33","234.80","237.81","233.97","28.48M","1.02%"
"2024-11-27","234.93","234.46","235.69","233.81","33.50M","-0.06%"
"2024-11-26","235.06","233.33","235.57","233.33","45.99M","0.94%"
"2024-11-25","232.87","231.46","233.24","229.74","90.15M","1.31%"
"2024-11-22","229.87","228.06","230.72","228.06","38.17M","0.59%"
"2024-11-21","228.52","228.88","230.15","225.71","42.11M","-0.21%"
"2024-11-20","229.00","228.06","229.93","225.89","35.17M","0.32%"
"2024-11-19","228.28","226.98","230.16","226.66","36.21M","0.11%"
"2024-11-18","228.02","225.25","229.74","225.17","44.69M","1.34%"
"2024-11-15","225.00","226.40","226.92","224.27","47.92M","-1.41%"
"2024-11-14","228.22","225.02","228.87","225.00","44.92M","1.38%"
"2024-11-13","225.12","224.01","226.65","222.76","48.57M","0.40%"
"2024-11-12","224.23","224.55","225.59","223.35","40.40M","0.00%"
"2024-11-11","224.23","225.00","225.70","221.50","42.01M","-1.20%"
"2024-11-8","226.96","227.17","228.66","226.40","38.33M","-0.23%"
"2024-11-7","227.48","224.63","227.88","224.57","42.14M","2.14%"
"2024-11-6","222.72","222.61","226.07","221.19","54.56M","-0.33%"
"2024-11-5","223.45","221.79","223.95","221.14","28.11M","0.65%"
"2024-11-4","222.01","220.99","222.79","219.71","44.94M","-0.40%"
"2024-11-1","222.91","220.96","225.35","220.27","65.28M","-1.33%"
"2024-10-31","225.91","229.34","229.83","225.37","64.37M","-1.82%"
"2024-10-30","230.10","232.61","233.47","229.55","47.07M","-1.53%"
"2024-10-29","233.67","233.10","234.32","232.32","35.42M","0.12%"
"2024-10-28","233.40","233.32","234.73","232.55","36.09M","0.86%"
"2024-10-25","231.41","229.74","233.22","229.57","38.80M","0.36%"
"2024-10-24","230.57","229.98","230.82","228.41","31.11M","-0.08%"
"2024-10-23","230.76","234.08","235.14","227.76","52.29M","-2.16%"
"2024-10-22","235.86","233.88","236.22","232.60","38.85M","-0.26%"
"2024-10-21","236.48","234.45","236.85","234.45","36.25M","0.63%"
"2024-10-18","235.00","236.18","236.18","234.01","46.43M","1.23%"
"2024-10-17","232.15","233.43","233.85","230.52","32.99M","0.16%"
"2024-10-16","231.78","231.60","232.12","229.84","34.08M","-0.89%"
"2024-10-15","233.85","233.61","237.49","232.37","64.75M","1.10%"
"2024-10-14","231.30","228.70","231.73","228.60","39.88M","1.65%"
"2024-10-11","227.55","229.30","229.41","227.34","31.76M","-0.65%"
"2024-10-10","229.04","227.78","229.50","227.17","28.18M","-0.22%"
"2024-10-9","229.54","225.23","229.75","224.83","33.59M","1.67%"
"2024-10-8","225.77","224.30","225.98","223.25","31.86M","1.84%"
"2024-10-7","221.69","224.50","225.69","221.33","39.51M","-2.25%"
"2024-10-4","226.80","227.90","228.00","224.13","37.35M","0.50%"
